original.name	chr2n
Carex_magellanica_ssp_irrigua|ASK|spm00001637	58.28571429
Carex_scoparia|MAI|spm00001255	65.19083969
Carex_spinirostris|NZ|NCBI_AUTHOR_Gardner_323	63
Carex_brunnea|CHC|spm00007866	61
Carex_shimidzensis|JAP|NCBI_AUTHOR_Senni_591	69
Carex_simulata|CAL|spm00001284	64
Carex_lanceolata|CHM|spm00006393	68.22222222
Carex_acaulis|CLS|spm00000518	50
Carex_atrata|AUT|spm00007990	53.09090909
Carex_blepharicarpa|KOR|spm00000323	30.8
Carex_brownii|JAP|NCBI_Waterway_3655	72
Carex_bicolor|ASK|spm00001622	49.33333333
Carex_simpliciuscula|CHT|spm00003402	71.94736842
Carex_jackiana_ssp_parciflora|JAP|NCBI_Waterway_3674	42.25
Carex_rochebrunii|CHT|spm00006409	64
Carex_subtilis||spm00004415	94
Carex_hookeriana|MAN|spm00005409	58
Carex_albonigra|ASK|spm00001621	53
Carex_capillaris_ssp_capillaris|QUE|NCBI_Waterway_3679	53.6
Carex_resectans|NZN|spm00002618	59
Carex_glareosa_ssp_glareosa|MAN|spm00001756	65.4
Carex_drucei||spm00004418	88
Carex_densa|ORE|spm00001669	54
Carex_tristachya_var_pocilliformis|KOR|spm00000352	39
Carex_buxbaumii|ASK|spm00000765	102.6
Carex_atrofusca|ASK|spm00001654	38.25
Carex_mackenziei|ASK|spm00001657	66.4
Carex_siderosticta||spm00007900	18
Carex_viridula|WAS|spm00004568	66.71428571
Carex_trifida|NZ|NCBI_AUTHOR_Gardner_292	60
Carex_scabriuscula|CAL|spm00001246	58
Carex_raoulii|NZ|NCBI_AUTHOR_Gardner_313	46
Carex_aquatilis_var_aquatilis|NFL|spm00001485	76.76923077
Carex_maritima|YUK|spm00002500	60
Carex_insaniae_var_insaniae|JAP|spm00005753	59.33333333
Carex_paleacea|MAI|spm00001127	72.33333333
Carex_foliosissima|JAP|NCBI_Waterway_3660	31.5
Carex_stenostachys|JAP|spm00006689	58.75
