original.name;Culm.length.mp
Carex_podocarpa|BRC|spm00001932;32.5
Carex_potens||spm00004430;37.5
Carex_praecox|HUN|spm00002176;20
Carex_praegracilis|CAL|spm00001157;52.5
Carex_prairea|BRC|spm00001951;51.5
Carex_praticola|COL|spm00001163;50
Carex_preslii|ORE|spm00001174;39.5
Carex_projecta|MAN|spm00001176;70
Carex_pseudobrizoides|POL|spm00002177;40
Carex_pseudocuraica|CH|spm00002605;27.5
Carex_pseudocyperus|MIC|spm00001179;62.5
Carex_pseudofoetida_ssp_pseudofoetida|CHQ|spm00005820;6.5
Carex_pseudorufa|NAT|spm00003204;93.5
Carex_pudica|JAP|spm00006673;4.5
Carex_pulicaris|GRB|spm00005180;15
Carex_pumila|NCA|spm00002067;19
Carex_punctata|GRB|NCBI_Smith_3418;50
Carex_punicea|NZS|spm00005105;25
Carex_purpurata||spm00004431;14.5
Carex_purpurifera|KTY|spm00001470;42
Carex_pyrenaica|SPA|spm00000582;20
Carex_quadriflora|KOR|spm00000347;22.5
Carex_radfordii|SCA|spm00001438;44.5
Carex_radiata|MIC|spm00001198;50
Carex_rainbowii|NAT|NCBI_Martin_Bravo_2799;58
Carex_ramenskii|ASK|spm00001439;30
Carex_raoulii|NZ|NCBI_AUTHOR_Gardner_313;70
Carex_rariflora|YUK|spm00001999;20
Carex_raynoldsii|CAL|spm00001184;47.5
Carex_recta||NCBI_Dean_SM00017;52.5
Carex_reinii|JAP|spm00006675;45
Carex_remota|YUG|spm00006118;45
Carex_reniformis|GEO|spm00001187;50
Carex_reptabunda|CHX|spm00006415;35
